#GENE	SH26-1095-Vehicle	SH26-1125-TDM1	SH26-1127-TDM1	SH26-1182-Combo	SH26-1196-TDM1	SH26-1226-Combo	SH26-1239-Combo	SH26-1259-Resist	SH26-1261-TAK	SH26-1270-TAK	SH26-1274-TAK	SH26-1275-Resist	SH26-1291-Resist	SH26-1313-Vehicle
1600029O15Rik	0	1	0	0	0	0	1	0	0	1	0	0	0	1
1700001C19Rik	24	6	16	8	11	4	7	8	5	12	8	2	4	0
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	8	4	4	4	6	7	2	1	0	3	2	3	2	0
1700001G17Rik	28	1	10	10	4	10	3	9	8	13	4	6	1	10
1700001J03Rik	1	0	1	0	0	0	0	4	0	3	0	4	0	14
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700001K23Rik	29	0	4	0	0	4	4	0	0	0	3	1	2	48
1700001L05Rik	37	90	126	152	121	162	185	111	139	309	188	142	161	18
1700001L19Rik	38	87	37	43	71	72	12	213	42	195	41	79	20	53
1700001N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	32	89	47	49	65	27	29	36	41	45	16	7	18	18
1700001P01Rik	10	0	1	2	3	2	3	1	5	4	4	3	0	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	1	3	1	1	1	1	6	2	5	4	2	2	0
1700003E16Rik	29	128	52	65	79	73	28	216	40	150	38	35	56	9
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	132	23	68	8	16	31	39	4	19	31	27	8	10	320
1700003G18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I16Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	5	1	2	2	0	0	3	0	1	0	0	0	0
1700003N22Rik	5	7	8	4	2	4	2	0	3	0	4	0	6	1
1700003O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700006J14Rik	0	3	12	3	0	1	0	7	3	6	0	7	2	0
1700006P03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	4	1	0	2	2	2	0	1	0	3	0	0
1700007K13Rik	157	322	83	136	227	189	69	636	142	482	126	233	80	81
1700007L15Rik	95	43	74	43	43	45	69	22	83	66	49	20	22	102
1700007M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	2	0	0	0	0	4	1	1	0	0	0	0
1700008B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	59	61	73	65	63	55	48	91	57	58	45	59	43	27
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	7	13	6	4	3	7	4	16	3	13	2	0	2	12
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	1	1	1	0	0	2	3	0	1	0	3	0	0
1700009N14Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700010B13Rik	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	26	33	54	51	77	76	51	53	62	73	46	51	51	17
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	0	0	2	0	0	2	0	0	2	2	1	0	0	0
1700010L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	10
1700011C11Rik	0	0	0	0	0	0	0	0	0	4	0	0	0	0
1700011D18Rik	0	0	1	0	0	0	0	0	0	0	1	2	0	0
1700011L03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	10	9	13	15	7	19	15	24	8	12	15	14	17	22
1700012B09Rik	11	12	8	4	7	22	2	7	13	5	6	19	4	0
1700012C08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012D14Rik	2	3	9	14	0	10	8	11	9	11	15	19	20	10
1700012D16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	2	2	0	0	1	0	2	3	1	11	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	4	0	0	0	0	0	1	0	0	0	0	0	0
1700013A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	54	14	22	45	51	13	112	18	75	18	51	24	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	7	0	0	1	0	1	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1700015C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	2	0	1	0	0	2	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016A09Rik	0	2	2	6	4	0	1	0	1	4	4	1	4	0
1700016B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	92	392	149	117	828	282	200	66	168	128	49	59	46	208
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700016F12Rik	0	3	0	0	1	1	0	0	0	0	1	0	0	0
1700016G22Rik	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1700016H03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	49	4	31	8	9	31	25	12	27	31	26	13	11	0
1700016J18Rik	12	5	4	3	6	1	0	8	3	8	1	2	2	5
1700016K05Rik	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	74	275	49	137	147	111	18	556	95	258	93	168	60	12
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016P03Rik	2	0	0	0	0	0	0	4	2	4	2	7	1	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	428	923	1330	1110	1036	950	1015	1854	783	1021	1026	716	1059	692
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	6	8	6	9	4	5	22	3	15	19	13	8	0
1700018A14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A23Rik	0	0	2	0	0	0	0	2	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	2	0	0	3	0	0	0
1700018G05Rik	0	0	0	4	0	2	0	0	2	0	0	0	0	16
1700018L02Rik	0	11	17	15	20	17	21	26	14	14	20	13	16	0
1700018M17Rik	0	0	0	4	0	1	1	0	0	1	1	3	0	0
1700018P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1700019A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700019D03Rik	7	15	10	4	3	5	2	17	1	1	5	7	7	1
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700019L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	1	2	0	0	1	2	3	0	3	2	0	0
1700020D12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	10	3	3	0	1	1	1	3	1	2	4	1	0	0
1700020G17Rik	0	0	0	0	2	0	0	0	0	0	0	2	0	0
1700020L24Rik	7	3	5	6	4	4	1	0	2	6	4	0	0	15
1700020M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	3	0	1	1	0	0	0	0	0	0	0	9
1700020N15Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1700020N18Rik	11	15	20	14	6	0	10	29	7	25	1	5	2	35
1700021A07Rik	0	0	1	0	0	0	0	0	0	2	1	0	0	0
1700021F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	3	9	4	5	5	5	8	9	7	10	16	19	6	8
1700021G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021J08Rik	0	0	0	2	0	0	1	0	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	1	3	0	0	4	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	1	1	0	2	0	0	0
1700022N22Rik	7	4	11	6	12	7	5	9	5	25	4	6	4	28
1700023B13Rik	0	2	4	3	3	1	0	12	2	9	3	6	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	3	0	2	0	0	0	2	0	0	0	1	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	78	143	45	74	117	79	28	354	34	310	69	161	45	0
1700024I08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	3	1	0	0	1	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	3	0	0	2	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	136	306	229	249	219	252	226	710	206	230	369	456	123	113
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	1	0	1	2	0	0	0	0	0	2	0	0
1700025O08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026N04Rik	0	0	1	0	0	0	0	0	3	0	0	2	2	0
1700027A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	8	8	7	26	13	34	18	35	33	16	31	39	7	8
1700028I16Rik	0	3	3	0	1	2	0	0	0	1	0	0	0	0
1700028J19Rik	23	6	18	16	11	2	10	3	16	8	12	3	6	10
1700028K03Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028N14Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1700028P14Rik	12	44	11	12	15	12	6	112	14	89	18	44	7	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1700029I15Rik	38	9	15	7	6	22	8	8	14	16	15	8	8	48
1700029J03Rik	0	0	1	0	0	4	1	0	0	0	0	0	0	0
1700029J07Rik	21	83	26	37	76	94	31	148	63	81	40	123	21	36
1700029M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	0	30	19	8	11	11	6	30	11	27	1	45	7	0
1700030C12Rik	0	10	1	0	3	3	1	4	1	3	1	6	4	0
1700030C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	15	109	31	77	74	54	24	150	61	64	41	65	38	19
1700030K09Rik	61	107	204	176	146	138	178	144	147	255	199	125	105	89
1700030L20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	1	0	0	3	0	0	0	1	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	8	7	5	4	3	2	4	5	2	4	5	9	6	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700034P13Rik	10	1	0	3	1	3	2	0	0	0	5	0	0	0
1700036A12Rik	0	0	1	0	0	0	2	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	97	178	218	121	152	118	143	195	127	175	112	66	111	238
1700037F03Rik	0	0	0	2	1	0	0	1	0	0	0	0	1	0
1700037H04Rik	459	712	804	542	983	875	756	309	871	688	499	258	611	733
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039M15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	4	5	0	1	1	0	0	2	1	1	1	0	0	12
1700040E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
